transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,month,weekday,year
T3751,U103,2024-05-31,Income,Bonus,49639.0,,hyderabad,Online course,5,Friday,2024
T9500,U090,2022-06-07,Expense,Helth,9408.0,cash,hyderabad,Electricity bill,6,Tuesday,2022
T7093,U096,2023-03-29,Expense,TRAVEL,9681.0,Upi,delhi,Online course,3,Wednesday,2023
T11932,U100,2023-02-10,Expense,Utility,6704.0,UPI,MUM,Doctor consultation,2,Friday,2023
T12807,U029,2021-06-05,Income,Freelance,32381.0,Bank Transfer,chennai,...,6,Saturday,2021
T0409,U137,2021-02-08,Expense,Utility,8841.0,,mumbai,,2,Monday,2021
T13453,U110,2024-11-05,Expense,Rnt,2979.0,cash,HYD,Medicine,11,Tuesday,2024
T4967,U113,2022-02-17,Expense,Rentt,47473.0,BankTransfer,hyderabad,Online course,2,Thursday,2022
T5844,U086,2021-04-24,Expense,Food,2615.0,CRD,Lucknow,ATM withdrawal,4,Saturday,2021
T12265,U094,2022-04-02,Expense,Utlities,4215.0,Crd,hyderabad,ATM withdrawal,4,Saturday,2022
T9022,U089,2024-03-10,Expense,Rentt,21376.0,UPI,CHE,test,3,Sunday,2024
T7016,U145,2021-01-09,Expense,Utility,7391.0,cash,hyderabad,Uber ride,1,Saturday,2021
T9952,U045,2022-12-24,Expense,Utility,2230.0,,delhi,ATM withdrawal,12,Saturday,2022
T13401,U064,2021-09-17,Expense,Fod,6197.0,upi,,xyz123,9,Friday,2021
T7219,U002,2024-06-28,Expense,Educaton,3150.0,Bank Transfr,ahmedabad,,6,Friday,2024
T4986,U124,2023-07-04,Expense,Traval,1409.0,upi,chennai,xyz123,7,Tuesday,2023
T2017,U090,2022-01-14,Expense,Utility,7821.0,CASH,PUN,test,1,Friday,2022
T9479,U114,2021-08-14,Expense,rent,988.0,upi,,Restaurant dinner,8,Saturday,2021
T2782,U093,2021-04-01,Expense,FOOD,7849.0,,Pune,Petrol,4,Thursday,2021
T11291,U040,2024-06-10,Income,Bonus,33565.0,Csh,HYDERABAD,Gym membership,6,Monday,2024
T1066,U057,2023-02-05,Expense,Entertainment,7713.0,upi,pune,Monthly rent payment,2,Sunday,2023
T4233,U089,2024-10-30,Expense,Education,9806.0,Bank_Transfer,CHENNAI,Petrol,10,Wednesday,2024
T1925,U060,2023-02-04,Expense,Foodd,3762.0,BankTransfer,HYD,,2,Saturday,2023
T7901,U028,2021-09-07,Expense,entertainment,356.0,BankTransfer,jaipur,,9,Tuesday,2021
T9324,U093,2021-10-03,Income,Others,20156.0,cash,Pune,,10,Sunday,2021
T11898,U035,2023-04-13,Expense,Food,775.0,UPi,,Monthly rent payment,4,Thursday,2023
T11278,U009,2022-07-19,Expense,Rentt,40813.0,Upi,delhi,Books,7,Tuesday,2022
T10427,U077,2024-12-31,Expense,Utlities,3414.0,Upi,pune,test,12,Tuesday,2024
T7679,U079,2024-05-03,Expense,Education,2274.0,cash,HYDERABAD,Grocery shopping,5,Friday,2024
T4874,U123,2024-12-30,Expense,travel,8592.0,Csh,PUN,Lunch,12,Monday,2024
T8417,U089,2022-05-17,Expense,Foods,4945.0,CRD,ahmedabad,test,5,Tuesday,2022
T4377,U065,2022-04-05,Expense,RENT,5935.0,Bank Transfr,HYD,Coffee,4,Tuesday,2022
T10267,U128,2021-10-19,Expense,RENT,6484.0,Upi,JAI,Fixed deposit,10,Tuesday,2021
T6008,U053,2023-05-21,Expense,Foodd,2232.0,,PUN,Books,5,Sunday,2023
T8940,U088,2024-11-05,Expense,uncategorized,3825.0,CASH,Bangalore,,11,Tuesday,2024
T2577,U075,2022-07-13,Expense,Utilities,4923.0,bank transfer,MUMBAI,,7,Wednesday,2022
T5467,U104,2023-11-05,Expense,food,5292.0,Bank_Transfer,hyderabad,Gym membership,11,Sunday,2023
T4870,U014,2024-10-04,Expense,Rnt,9348.0,bank transfer,JAIPUR,,10,Friday,2024
T13685,U047,2021-08-03,Income,Investment,74243.0,Cash,JAIPUR,Shopping,8,Tuesday,2021
T6605,U124,2023-10-17,Expense,FOOD,8640.0,cash,Jaipur,Coffee,10,Tuesday,2023
T3940,U085,2021-06-25,Expense,food,9784.0,Crd,JAIPUR,Uber ride,6,Friday,2021
T6257,U036,2023-02-21,Expense,Food,4816.0,UPi,PUN,Lunch,2,Tuesday,2023
T10279,U087,2021-03-13,Income,Freelance,46587.0,CRD,LUCKNOW,asdfgh,3,Saturday,2021
T0177,U038,2022-06-13,Expense,Others,6610.0,csh,PUNE,Restaurant dinner,6,Monday,2022
T3986,U077,2024-12-20,Expense,travel,4692.0,upi,jaipur,Fixed deposit,12,Friday,2024
T8163,U016,2021-03-29,Expense,Entertain,7845.0,csh,DEL,asdfgh,3,Monday,2021
T3840,U144,2022-08-23,Expense,Utilties,6908.0,Card,BAN,,8,Tuesday,2022
T3774,U020,2023-09-08,Expense,Rentt,47146.0,card,Delhi,,9,Friday,2023
T3961,U111,2024-07-15,Expense,HEALTH,5749.0,csh,pune,Internet bill,7,Monday,2024
T8714,U065,2021-06-23,Expense,Entertain,237.0,Bank Transfer,JAIPUR,Petrol,6,Wednesday,2021
T8551,U065,2024-03-20,Expense,utilities,2288.0,UPI,Kolkata,,3,Wednesday,2024
T10622,U030,2022-01-26,Expense,Travel,5756.0,Bank_Transfer,HYD,ATM withdrawal,1,Wednesday,2022
T4430,U147,2024-10-04,Expense,RENT,287.0,CARD,HYDERABAD,Restaurant dinner,10,Friday,2024
T10574,U061,2021-10-28,Expense,Education,9601.0,,kolkata,Uber ride,10,Thursday,2021
T9379,U106,2021-11-26,Expense,Rent,21603.0,csh,JAIPUR,Petrol,11,Friday,2021
T0617,U046,2021-01-22,Expense,Fod,1641.0,csh,kolkata,,1,Friday,2021
T4585,U003,2024-05-21,Expense,Entertain,1006.0,Upi,hyderabad,Medicine,5,Tuesday,2024
T5011,U129,2022-07-16,Expense,TRAVEL,6799.0,CARD,Bangalore,Restaurant dinner,7,Saturday,2022
T1330,U108,2022-03-21,Expense,rent,1564.0,,,Doctor consultation,3,Monday,2022
T7760,U089,2024-05-11,Expense,Rent,46614.0,Bank Transfr,LUC,...,5,Saturday,2024
T5130,U075,2021-09-10,Expense,Rent,46896.0,UPI,delhi,Lunch,9,Friday,2021
T4248,U058,2022-03-21,Income,Salary,78532.0,Bank_Transfer,kolkata,misc,3,Monday,2022
T6784,U022,2021-01-12,Expense,Fod,8687.0,,BANGALORE,Coffee,1,Tuesday,2021
T1468,U139,2022-12-07,Income,Freelance,57170.0,UPi,DEL,Movie tickets,12,Wednesday,2022
T5253,U075,2021-08-07,Expense,FOOD,7235.0,Crd,BAN,test,8,Saturday,2021
T4529,U064,2024-01-31,Income,Bonus,21355.0,Bank_Transfer,JAI,EMI payment,1,Wednesday,2024
T10901,U086,2022-07-12,Expense,Traval,9364.0,UPI,DELHI,EMI payment,7,Tuesday,2022
T2128,U126,2023-10-18,Expense,HEALTH,9979.0,upi,HYD,Internet bill,10,Wednesday,2023
T1182,U023,2024-09-20,Expense,Health,8548.0,,BAN,ATM withdrawal,9,Friday,2024
T8123,U020,2023-05-15,Expense,RENT,5988.0,Bank Transfer,MUM,Movie tickets,5,Monday,2023
T7895,U117,2024-08-23,Expense,Utlities,6348.0,card,Chennai,!!!,8,Friday,2024
T8735,U113,2021-05-15,Expense,Rnt,5549.0,UPi,,Fixed deposit,5,Saturday,2021
T10792,U053,2022-07-15,Expense,Rent,44898.0,cash,Chennai,Coffee,7,Friday,2022
T1044,U075,2021-05-06,Expense,food,1810.0,Card,KOL,Internet bill,5,Thursday,2021
T5549,U114,2021-01-30,Expense,Rent,45894.0,Bank Transfr,MUM,Petrol,1,Saturday,2021
T13844,U006,2024-05-29,Expense,Travl,7040.0,UPi,JAIPUR,Uber ride,5,Wednesday,2024
T3349,U130,2022-08-02,Expense,Utilities,6260.0,CARD,Mumbai,Electricity bill,8,Tuesday,2022
T3113,U079,2023-03-17,Expense,Helth,5958.0,bank transfer,mumbai,misc,3,Friday,2023
T1572,U097,2024-06-02,Expense,Education,2715.0,card,ahmedabad,asdfgh,6,Sunday,2024
T13022,U105,2023-04-22,Expense,utilities,9245.0,Bank Transfer,ahmedabad,Train ticket,4,Saturday,2023
T3628,U116,2024-12-07,Expense,Rentt,12316.0,cash,JAI,Medicine,12,Saturday,2024
T5287,U129,2024-04-11,Expense,Entertainment,6832.0,CASH,JAI,Fixed deposit,4,Thursday,2024
T11583,U036,2024-10-20,Income,Bonus,73654.0,Crd,Mumbai,asdfgh,10,Sunday,2024
T1258,U106,2022-11-14,Expense,RENT,4981.0,,Jaipur,...,11,Monday,2022
T7798,U040,2023-10-09,Expense,Utility,9476.0,Upi,BAN,Movie tickets,10,Monday,2023
T6020,U092,2022-08-03,Expense,Food,3280.0,Bank Transfr,jaipur,xyz123,8,Wednesday,2022
T7005,U026,2022-11-20,Expense,Rentt,7109.0,BankTransfer,DELHI,asdfgh,11,Sunday,2022
T5319,U037,2023-03-10,Income,uncategorized,61598.0,Cash,chennai,Medicine,3,Friday,2023
T5165,U126,2024-12-12,Income,Others,224611.0,Upi,DEL,Movie tickets,12,Thursday,2024
T11757,U068,2024-09-21,Expense,food,2044.0,BankTransfer,Pune,Online course,9,Saturday,2024
T8961,U043,2021-05-19,Expense,Traval,1115.0,CRD,BAN,Internet bill,5,Wednesday,2021
T0428,U006,2021-10-09,Expense,Foodd,2017.0,Bank Transfer,Bangalore,Medicine,10,Saturday,2021
T0481,U108,2023-07-17,Expense,Utility,392.0,bank transfer,pune,Uber ride,7,Monday,2023
T9132,U067,2022-08-10,Income,Freelance,24394.0,upi,DELHI,Monthly rent payment,8,Wednesday,2022
T8881,U090,2022-11-05,Expense,Utilties,7838.0,UPi,BANGALORE,Electricity bill,11,Saturday,2022
T13867,U026,2023-09-11,Expense,Saving,7734.0,cash,,Internet bill,9,Monday,2023
T2238,U023,2023-09-24,Expense,TRAVEL,7858.0,,KOL,Grocery shopping,9,Sunday,2023
T12671,U139,2024-10-30,Expense,food,3913.0,CARD,hyderabad,Shopping,10,Wednesday,2024
T4155,U042,2022-12-09,Expense,Travel,5279.0,csh,jaipur,Lunch,12,Friday,2022
T11219,U135,2021-11-12,Expense,Rentt,32436.0,Crd,,,11,Friday,2021
T13688,U003,2024-12-01,Expense,food,7717.0,,lucknow,ATM withdrawal,12,Sunday,2024
T6767,U099,2024-08-03,Expense,Fod,1574.0,Crd,DELHI,ATM withdrawal,8,Saturday,2024
T8580,U118,2024-01-10,Expense,TRAVEL,552.0,Crd,delhi,Medicine,1,Wednesday,2024
T8316,U116,2021-05-22,Income,Investment,30473.0,bank transfer,DELHI,Shopping,5,Saturday,2021
T13011,U031,2023-06-28,Expense,Rent,39845.0,CASH,Delhi,Restaurant dinner,6,Wednesday,2023
T4498,U109,2024-10-26,Expense,OTHERS,2163.0,CRD,CHENNAI,Uber ride,10,Saturday,2024
T5945,U039,2022-02-13,Expense,Rentt,19467.0,BankTransfer,bangalore,Gym membership,2,Sunday,2022
T7231,U038,2023-11-22,Income,uncategorized,13959.0,csh,Chennai,ATM withdrawal,11,Wednesday,2023
T2058,U121,2022-11-17,Expense,Savings,3084.0,Csh,JAI,Train ticket,11,Thursday,2022
T7330,U147,2023-12-21,Expense,FOOD,7874.0,Bank Transfer,PUNE,EMI payment,12,Thursday,2023
T13194,U017,2022-09-20,Expense,Traval,5391.0,,JAIPUR,test,9,Tuesday,2022
T6321,U138,2021-01-11,Expense,Rent,29287.0,Card,DEL,Internet bill,1,Monday,2021
T6756,U091,2023-11-09,Expense,Educaton,3891.0,cash,Hyderabad,misc,11,Thursday,2023
T1799,U086,2022-05-31,Expense,Foodd,2186.0,Bank Transfer,Chennai,Train ticket,5,Tuesday,2022
T4918,U130,2022-05-01,Expense,Rentt,20656.0,Card,Kolkata,,5,Sunday,2022
T2648,U033,2021-03-26,Expense,rent,6798.0,csh,BANGALORE,Shopping,3,Friday,2021
T12733,U057,2021-04-06,Expense,Foodd,4051.0,Card,Bangalore,Grocery shopping,4,Tuesday,2021
T12420,U044,2022-09-28,Expense,Utilties,6725.0,cash,Chennai,...,9,Wednesday,2022
T7634,U033,2022-01-13,Expense,utilities,4958.0,Bank_Transfer,PUN,,1,Thursday,2022
T5344,U122,2022-01-21,Expense,Foods,1099.0,Bank_Transfer,lucknow,Books,1,Friday,2022
T13242,U031,2022-11-13,Expense,Educaton,5642.0,CARD,BAN,Gym membership,11,Sunday,2022
T4096,U047,2024-03-25,Expense,Rnt,1020.0,Cash,BAN,,3,Monday,2024
T5843,U124,2021-05-26,Expense,Entertainment,4241.0,cash,hyderabad,Grocery shopping,5,Wednesday,2021
T1364,U048,2021-02-17,Expense,Rent,36056.0,Upi,mumbai,,2,Wednesday,2021
T6632,U009,2023-05-10,Expense,Rentt,6358.0,CRD,BANGALORE,Uber ride,5,Wednesday,2023
T3847,U134,2022-10-11,Expense,Utility,941.0,Cash,kolkata,Fixed deposit,10,Tuesday,2022
T13825,U127,2024-11-17,Expense,food,6574.0,UPi,DEL,Petrol,11,Sunday,2024
T3164,U023,2024-11-26,Expense,TRAVEL,409.0,UPI,Pune,ATM withdrawal,11,Tuesday,2024
T5327,U072,2023-12-14,Expense,Foods,3903.0,Cash,DEL,Grocery shopping,12,Thursday,2023
T12210,U118,2022-01-25,Expense,Rentt,20509.0,Bank Transfr,bangalore,Train ticket,1,Tuesday,2022
T4407,U143,2022-07-29,Expense,Education,6714.0,bank transfer,Hyderabad,,7,Friday,2022
T6734,U110,2024-06-03,Expense,TRAVEL,1098.0,,PUN,,6,Monday,2024
T4511,U107,2022-07-06,Expense,Travl,6170.0,CRD,BANGALORE,,7,Wednesday,2022
T9929,U102,2023-03-15,Expense,Utlities,8158.0,Crd,AHMEDABAD,ATM withdrawal,3,Wednesday,2023
T9603,U145,2023-06-28,Expense,rent,6760.0,Bank_Transfer,Kolkata,Uber ride,6,Wednesday,2023
T0824,U007,2021-03-04,Expense,Entertainment,3219.0,UPI,LUCKNOW,Monthly rent payment,3,Thursday,2021
T5459,U067,2021-08-28,Expense,HEALTH,1008.0,Upi,Jaipur,Medicine,8,Saturday,2021
T3551,U025,2023-09-23,Expense,Traval,1372.0,CARD,MUMBAI,Train ticket,9,Saturday,2023
T5647,U082,2023-05-10,Expense,Helth,984.0,Card,BANGALORE,Online course,5,Wednesday,2023
T6638,U084,2023-08-02,Expense,travel,1868.0,CASH,Bangalore,Grocery shopping,8,Wednesday,2023
T9811,U048,2024-01-06,Expense,RENT,2774.0,Bank Transfr,PUNE,Internet bill,1,Saturday,2024
T1789,U038,2022-05-31,Income,Salary,30722.0,CRD,JAIPUR,...,5,Tuesday,2022
T1222,U121,2021-01-11,Expense,Utility,8855.0,UPi,Delhi,asdfgh,1,Monday,2021
T1288,U071,2024-12-23,Expense,health,6626.0,bank transfer,lucknow,Monthly rent payment,12,Monday,2024
T12635,U026,2024-07-22,Expense,Foods,3054.0,cash,Pune,test,7,Monday,2024
T3008,U055,2022-07-30,Income,Freelance,37631.0,CRD,MUM,Fixed deposit,7,Saturday,2022
T4064,U127,2023-04-11,Expense,Foodd,3980.0,UPi,PUNE,Petrol,4,Tuesday,2023
T13189,U021,2021-03-17,Expense,Saving,8006.0,cash,,xyz123,3,Wednesday,2021
T8420,U136,2021-06-03,Expense,utilities,4713.0,cash,BAN,Doctor consultation,6,Thursday,2021
T10250,U057,2024-12-20,Income,Salary,14297.0,Bank Transfr,Mumbai,Electricity bill,12,Friday,2024
T4214,U036,2021-12-13,Expense,Foodd,2087.0,card,bangalore,!!!,12,Monday,2021
T0949,U144,2023-04-06,Expense,food,5997.0,CRD,bangalore,!!!,4,Thursday,2023
T5449,U035,2023-04-19,Expense,Foods,4677.0,CARD,Jaipur,EMI payment,4,Wednesday,2023
T11887,U009,2023-04-15,Expense,Rent,48330.0,UPi,LUC,xyz123,4,Saturday,2023
T5579,U030,2023-06-06,Expense,Helth,8757.0,Bank Transfer,AHMEDABAD,asdfgh,6,Tuesday,2023
T11783,U121,2022-07-01,Expense,Traval,5855.0,csh,kolkata,Doctor consultation,7,Friday,2022
T12272,U136,2023-04-15,Income,Salary,18733.0,Card,AHM,!!!,4,Saturday,2023
T13932,U147,2023-11-21,Expense,Educaton,6062.0,Bank_Transfer,lucknow,!!!,11,Tuesday,2023
T7669,U082,2023-08-04,Expense,food,9155.0,Csh,MUMBAI,EMI payment,8,Friday,2023
T1165,U017,2023-04-04,Expense,Utility,4949.0,Cash,jaipur,,4,Tuesday,2023
T10275,U119,2022-06-03,Expense,FOOD,6432.0,Card,CHENNAI,,6,Friday,2022
T4226,U070,2021-04-23,Expense,Travel,1945.0,Bank Transfr,mumbai,,4,Friday,2021
T12985,U022,2023-02-18,Expense,Entertainment,7288.0,Card,delhi,Medicine,2,Saturday,2023
T7356,U059,2022-03-03,Expense,Foodd,1443.0,CARD,KOL,Shopping,3,Thursday,2022
T2950,U135,2021-11-04,Expense,Food,842.0,UPI,bangalore,Monthly rent payment,11,Thursday,2021
T3159,U119,2023-01-25,Expense,Rentt,9301.0,cash,ahmedabad,Coffee,1,Wednesday,2023
T0060,U038,2024-01-12,Expense,Food,2984.0,CRD,,Restaurant dinner,1,Friday,2024
T11837,U126,2023-01-28,Expense,Fod,9399.0,Card,jaipur,ATM withdrawal,1,Saturday,2023
T1448,U110,2022-05-07,Expense,Fod,845.0,CRD,chennai,Gym membership,5,Saturday,2022
T12179,U042,2023-04-13,Expense,travel,5205.0,BankTransfer,Pune,Shopping,4,Thursday,2023
T3030,U083,2024-01-21,Expense,Travel,744.0,bank transfer,CHENNAI,xyz123,1,Sunday,2024
T7009,U004,2022-04-05,Expense,Travel,4005.0,Csh,JAIPUR,Fixed deposit,4,Tuesday,2022
T13174,U064,2021-11-21,Expense,Entertainment,6829.0,card,Lucknow,Coffee,11,Sunday,2021
T7155,U076,2022-09-07,Expense,Foods,2236.0,Cash,CHE,,9,Wednesday,2022
T1069,U103,2023-06-20,Expense,Utility,4119.0,Csh,PUN,Online course,6,Tuesday,2023
T3185,U132,2024-04-28,Expense,travel,2771.0,Upi,LUC,,4,Sunday,2024
T10707,U150,2024-02-12,Income,Salary,76239.0,CRD,mumbai,Internet bill,2,Monday,2024
T11015,U138,2021-02-08,Expense,FOOD,5375.0,Upi,BAN,Movie tickets,2,Monday,2021
T8773,U004,2023-09-24,Expense,Traval,5649.0,BankTransfer,jaipur,,9,Sunday,2023
T12753,U059,2023-06-23,Expense,Travl,845.0,Upi,ahmedabad,Restaurant dinner,6,Friday,2023
T8713,U041,2024-01-12,Income,Salary,37665.0,UPI,bangalore,Lunch,1,Friday,2024
T11096,U064,2024-08-18,Income,Investment,77578.0,csh,bangalore,,8,Sunday,2024
T6281,U027,2024-07-08,Expense,Foodd,3765.0,Bank_Transfer,MUMBAI,Internet bill,7,Monday,2024
T2649,U023,2022-12-27,Expense,Rnt,4039.0,Upi,kolkata,EMI payment,12,Tuesday,2022
T13724,U096,2022-08-28,Expense,rent,1009.0,UPi,KOL,asdfgh,8,Sunday,2022
T4315,U049,2022-04-16,Expense,Foodd,2220.0,Bank Transfer,MUMBAI,Train ticket,4,Saturday,2022
T6679,U006,2022-07-29,Income,Freelance,50581.0,Upi,,Internet bill,7,Friday,2022
T3446,U036,2022-11-19,Income,Salary,65464.0,UPi,Kolkata,Uber ride,11,Saturday,2022
T3972,U027,2022-05-01,Expense,education,8479.0,upi,Jaipur,Uber ride,5,Sunday,2022
T2973,U052,2023-07-24,Expense,Rnt,9804.0,CASH,Bangalore,Medicine,7,Monday,2023
T12274,U016,2024-01-08,Expense,FOOD,6666.0,CRD,jaipur,misc,1,Monday,2024
T9679,U028,2023-05-20,Expense,Utility,9727.0,Upi,Lucknow,Restaurant dinner,5,Saturday,2023
T11073,U129,2022-07-25,Expense,Travel,1611.0,Csh,Pune,,7,Monday,2022
T0496,U065,2023-01-15,Expense,education,6020.0,CRD,Pune,Online course,1,Sunday,2023
T3419,U081,2023-12-14,Expense,Utility,3123.0,Bank_Transfer,CHENNAI,Monthly rent payment,12,Thursday,2023
T10148,U078,2023-08-10,Expense,Entertainment,1317.0,UPI,Pune,Medicine,8,Thursday,2023
T0881,U069,2023-02-16,Expense,Foodd,4235.0,Bank_Transfer,DELHI,test,2,Thursday,2023
T4819,U041,2024-03-01,Expense,education,2966.0,BankTransfer,,Lunch,3,Friday,2024
T5946,U096,2022-01-20,Expense,Rent,-500.0,cash,Chennai,Gym membership,1,Thursday,2022
T5130,U110,2024-03-02,Expense,Entertain,1505.0,Bank Transfer,KOL,Uber ride,3,Saturday,2024
T0932,U081,2024-12-10,Expense,Travl,4258.0,bank transfer,Bangalore,Books,12,Tuesday,2024
T1137,U026,2022-01-06,Expense,FOOD,6666.0,bank transfer,Jaipur,test,1,Thursday,2022
T4052,U066,2021-11-11,Expense,Travel,4882.0,CASH,LUCKNOW,asdfgh,11,Thursday,2021
T9995,U025,2024-04-20,Income,Bonus,28581.0,Bank Transfr,,Online course,4,Saturday,2024
T2126,U087,2022-05-03,Expense,education,8214.0,Card,kolkata,,5,Tuesday,2022
T2433,U090,2024-12-02,Expense,Utilties,7287.0,Upi,BAN,EMI payment,12,Monday,2024
T2991,U087,2022-02-22,Expense,Travl,7173.0,bank transfer,HYDERABAD,Shopping,2,Tuesday,2022
T0651,U038,2021-02-23,Expense,RENT,2693.0,upi,Bangalore,Shopping,2,Tuesday,2021
T0163,U098,2021-12-20,Income,Others,749253.0,BankTransfer,AHMEDABAD,Electricity bill,12,Monday,2021
T1677,U092,2021-12-01,Expense,entertainment,196.0,csh,Kolkata,Coffee,12,Wednesday,2021
T1491,U057,2024-05-12,Expense,Other,1060.0,Card,DEL,,5,Sunday,2024
T12436,U101,2024-09-17,Expense,Health,6954.0,csh,Bangalore,Restaurant dinner,9,Tuesday,2024
T5311,U090,2024-12-11,Expense,RENT,740.0,BankTransfer,pune,...,12,Wednesday,2024
T10247,U004,2023-04-21,Expense,RENT,1765.0,UPi,DELHI,,4,Friday,2023
T13416,U036,2021-04-04,Expense,Utilties,8458.0,Card,KOLKATA,Doctor consultation,4,Sunday,2021
T5176,U012,2023-05-28,Expense,travel,4457.0,Bank_Transfer,,test,5,Sunday,2023
T2985,U019,2023-04-22,Expense,Rent,8682.0,csh,BANGALORE,Electricity bill,4,Saturday,2023
T2483,U084,2024-11-28,Expense,uncategorized,3386.0,CARD,,,11,Thursday,2024
T5269,U009,2022-08-17,Expense,utilities,6325.0,bank transfer,AHMEDABAD,,8,Wednesday,2022
T1909,U001,2024-07-15,Income,Freelance,25294.0,Csh,Chennai,Coffee,7,Monday,2024
T4382,U083,2024-02-11,Expense,uncategorized,6928.0,Upi,pune,test,2,Sunday,2024
T1703,U101,2023-10-14,Expense,FOOD,6098.0,cash,KOL,Online course,10,Saturday,2023
T11839,U024,2021-09-06,Expense,Entrtnmnt,7894.0,upi,bangalore,xyz123,9,Monday,2021
T2841,U138,2024-11-01,Expense,Education,9950.0,Csh,CHENNAI,EMI payment,11,Friday,2024
T4021,U122,2022-03-02,Expense,food,4220.0,bank transfer,JAIPUR,,3,Wednesday,2022
T6263,U145,2023-08-29,Expense,TRAVEL,789.0,UPI,KOLKATA,,8,Tuesday,2023
T3619,U125,2024-09-10,Expense,TRAVEL,9698.0,Csh,JAIPUR,Grocery shopping,9,Tuesday,2024
T10606,U118,2024-03-02,Expense,Utility,9163.0,Cash,jaipur,,3,Saturday,2024
T6395,U027,2024-01-01,Expense,Rentt,12083.0,Card,DELHI,Restaurant dinner,1,Monday,2024
T6127,U082,2023-10-17,Expense,travel,4367.0,CRD,AHM,Internet bill,10,Tuesday,2023
T0780,U113,2024-07-24,Expense,Rent,23072.0,card,Chennai,!!!,7,Wednesday,2024
T12046,U001,2024-02-01,Expense,Foods,4103.0,,BAN,,2,Thursday,2024
T1316,U018,2023-05-15,Expense,Traval,4022.0,CRD,pune,Shopping,5,Monday,2023
T10852,U069,2023-01-31,Income,Bonus,35129.0,Card,Delhi,Fixed deposit,1,Tuesday,2023
