amount,user_id,date,transaction_type,category,amount.1,payment_mode,location,notes,month,weekday,year,description,transaction_id
T4585,U003,21-05-2024,Expense,Entertain,1006.0,Upi,hyderabad,Medicine,5,Tuesday,2024.0,,
T5011,U129,16-07-2022,Expense,TRAVEL,6799.0,CARD,Bangalore,Restaurant dinner,7,Saturday,2022.0,,
T1330,U108,21-03-2022,Expense,rent,1564.0,,,Doctor consultation,3,Monday,2022.0,,
T7760,U089,11-05-2024,Expense,Rent,46614.0,Bank Transfr,LUC,...,5,Saturday,2024.0,,
T5130,U075,10-09-2021,Expense,Rent,46896.0,UPI,delhi,Lunch,9,Friday,2021.0,,
T4248,U058,21-03-2022,Income,Salary,78532.0,Bank_Transfer,kolkata,misc,3,Monday,2022.0,,
T6784,U022,12-01-2021,Expense,Fod,8687.0,,BANGALORE,Coffee,1,Tuesday,2021.0,,
T1468,U139,07-12-2022,Income,Freelance,57170.0,UPi,DEL,Movie tickets,12,Wednesday,2022.0,,
T5253,U075,07-08-2021,Expense,FOOD,7235.0,Crd,BAN,test,8,Saturday,2021.0,,
T4529,U064,31-01-2024,Income,Bonus,21355.0,Bank_Transfer,JAI,EMI payment,1,Wednesday,2024.0,,
T10901,U086,12-07-2022,Expense,Traval,9364.0,UPI,DELHI,EMI payment,7,Tuesday,2022.0,,
T2128,U126,18-10-2023,Expense,HEALTH,9979.0,upi,HYD,Internet bill,10,Wednesday,2023.0,,
T1182,U023,20-09-2024,Expense,Health,8548.0,,BAN,ATM withdrawal,9,Friday,2024.0,,
T8123,U020,15-05-2023,Expense,RENT,5988.0,Bank Transfer,MUM,Movie tickets,5,Monday,2023.0,,
T7895,U117,23-08-2024,Expense,Utlities,6348.0,card,Chennai,!!!,8,Friday,2024.0,,
T8735,U113,15-05-2021,Expense,Rnt,5549.0,UPi,,Fixed deposit,5,Saturday,2021.0,,
T10792,U053,15-07-2022,Expense,Rent,44898.0,cash,Chennai,Coffee,7,Friday,2022.0,,
T1044,U075,06-05-2021,Expense,food,1810.0,Card,KOL,Internet bill,5,Thursday,2021.0,,
T5549,U114,30-01-2021,Expense,Rent,45894.0,Bank Transfr,MUM,Petrol,1,Saturday,2021.0,,
T13844,U006,29-05-2024,Expense,Travl,7040.0,UPi,JAIPUR,Uber ride,5,Wednesday,2024.0,,
T3349,U130,02-08-2022,Expense,Utilities,6260.0,CARD,Mumbai,Electricity bill,8,Tuesday,2022.0,,
T3113,U079,17-03-2023,Expense,Helth,5958.0,bank transfer,mumbai,misc,3,Friday,2023.0,,
T1572,U097,02-06-2024,Expense,Education,2715.0,card,ahmedabad,asdfgh,6,Sunday,2024.0,,
T13022,U105,22-04-2023,Expense,utilities,9245.0,Bank Transfer,ahmedabad,Train ticket,4,Saturday,2023.0,,
T3628,U116,07-12-2024,Expense,rent,12316.0,cash,JAI,Medicine,12,Saturday,2024.0,,
T5287,U129,11-04-2024,Expense,Entertainment,6832.0,CASH,JAI,Fixed deposit,4,Thursday,2024.0,,
T11583,U036,20-10-2024,Income,Bonus,73654.0,Crd,Mumbai,asdfgh,10,Sunday,2024.0,,
T1258,U106,14-11-2022,Expense,rent,4981.0,,Jaipur,...,11,Monday,2022.0,,
T7798,U040,09-10-2023,Expense,Utility,9476.0,Upi,BAN,Movie tickets,10,Monday,2023.0,,
T6020,U092,03-08-2022,Expense,Food,3280.0,Bank Transfr,jaipur,xyz123,8,Wednesday,2022.0,,
T7005,U026,20-11-2022,Expense,rent,7109.0,BankTransfer,DELHI,asdfgh,11,Sunday,2022.0,,
T5319,U037,10-03-2023,Income,hospital,61598.0,Cash,chennai,Medicine,3,Friday,2023.0,,
T5165,U126,12-12-2024,Income,Others,224611.0,Upi,DEL,Movie tickets,12,Thursday,2024.0,,
T11757,U068,21-09-2024,Expense,food,2044.0,BankTransfer,Pune,Online course,9,Saturday,2024.0,,
T8961,U043,19-05-2021,Expense,Traval,1115.0,CRD,BAN,Internet bill,5,Wednesday,2021.0,,
T0428,U006,09-10-2021,Expense,Foodd,2017.0,Bank Transfer,Bangalore,Medicine,10,Saturday,2021.0,,
T0481,U108,17-07-2023,Expense,Utility,392.0,bank transfer,pune,Uber ride,7,Monday,2023.0,,
T9132,U067,10-08-2022,Income,Freelance,24394.0,upi,DELHI,Monthly rent payment,8,Wednesday,2022.0,,
T8881,U090,05-11-2022,Expense,Utilties,7838.0,UPi,BANGALORE,Electricity bill,11,Saturday,2022.0,,
T13867,U026,11-09-2023,Expense,Saving,7734.0,cash,,Internet bill,9,Monday,2023.0,,
T2238,U023,24-09-2023,Expense,TRAVEL,7858.0,,KOL,Grocery shopping,9,Sunday,2023.0,,
T12671,U139,30-10-2024,Expense,food,3913.0,CARD,hyderabad,Shopping,10,Wednesday,2024.0,,
T4155,U042,09-12-2022,Expense,Travel,5279.0,csh,jaipur,Lunch,12,Friday,2022.0,,
T11219,U135,12-11-2021,Expense,rent,32436.0,Crd,,,11,Friday,2021.0,,
T13688,U003,01-12-2024,Expense,food,7717.0,,lucknow,ATM withdrawal,12,Sunday,2024.0,,
T6767,U099,03-08-2024,Expense,food,1574.0,Crd,DELHI,ATM withdrawal,8,Saturday,2024.0,,
T8580,U118,10-01-2024,Expense,TRAVEL,552.0,Crd,delhi,Medicine,1,Wednesday,2024.0,,
T8316,U116,22-05-2021,Income,Investment,30473.0,bank transfer,DELHI,Shopping,5,Saturday,2021.0,,
T13011,U031,28-06-2023,Expense,rent,39845.0,CASH,Delhi,Restaurant dinner,6,Wednesday,2023.0,,
T4498,U109,26-10-2024,Expense,uber,2163.0,CRD,CHENNAI,Uber ride,10,Saturday,2024.0,,
T5945,U039,13-02-2022,Expense,rent,19467.0,BankTransfer,bangalore,Gym membership,2,Sunday,2022.0,,
T7231,U038,22-11-2023,Income,uncategorized,13959.0,csh,Chennai,ATM withdrawal,11,Wednesday,2023.0,,
T2058,U121,17-11-2022,Expense,Savings,3084.0,Csh,JAI,Train ticket,11,Thursday,2022.0,,
T7330,U147,21-12-2023,Expense,FOOD,7874.0,Bank Transfer,PUNE,EMI payment,12,Thursday,2023.0,,
T13194,U017,20-09-2022,Expense,Traval,5391.0,,JAIPUR,test,9,Tuesday,2022.0,,
T6321,U138,11-01-2021,Expense,Rent,29287.0,Card,DEL,Internet bill,1,Monday,2021.0,,
T6756,U091,09-11-2023,Expense,Educaton,3891.0,cash,Hyderabad,misc,11,Thursday,2023.0,,
T1799,U086,31-05-2022,Expense,Foodd,2186.0,Bank Transfer,Chennai,Train ticket,5,Tuesday,2022.0,,
T4918,U130,01-05-2022,Expense,Rentt,20656.0,Card,Kolkata,,5,Sunday,2022.0,,
T2648,U033,26-03-2021,Expense,rent,6798.0,csh,BANGALORE,Shopping,3,Friday,2021.0,,
T12733,U057,06-04-2021,Expense,Foodd,4051.0,Card,Bangalore,Grocery shopping,4,Tuesday,2021.0,,
T12420,U044,28-09-2022,Expense,Utilties,6725.0,cash,Chennai,...,9,Wednesday,2022.0,,
T7634,U033,13-01-2022,Expense,utilities,4958.0,Bank_Transfer,PUN,,1,Thursday,2022.0,,
T5344,U122,21-01-2022,Expense,Foods,1099.0,Bank_Transfer,lucknow,Books,1,Friday,2022.0,,
T13242,U031,13-11-2022,Expense,Educaton,5642.0,CARD,BAN,Gym membership,11,Sunday,2022.0,,
T4096,U047,25-03-2024,Expense,Rnt,1020.0,Cash,BAN,,3,Monday,2024.0,,
T5843,U124,26-05-2021,Expense,Entertainment,4241.0,cash,hyderabad,Grocery shopping,5,Wednesday,2021.0,,
T1364,U048,17-02-2021,Expense,Rent,36056.0,Upi,mumbai,,2,Wednesday,2021.0,,
T6632,U009,10-05-2023,Expense,Rentt,6358.0,CRD,BANGALORE,Uber ride,5,Wednesday,2023.0,,
T3847,U134,11-10-2022,Expense,Utility,941.0,Cash,kolkata,Fixed deposit,10,Tuesday,2022.0,,
T13825,U127,17-11-2024,Expense,food,6574.0,UPi,DEL,Petrol,11,Sunday,2024.0,,
T3164,U023,26-11-2024,Expense,TRAVEL,409.0,UPI,Pune,ATM withdrawal,11,Tuesday,2024.0,,
T5327,U072,14-12-2023,Expense,Foods,3903.0,Cash,DEL,Grocery shopping,12,Thursday,2023.0,,
T12210,U118,25-01-2022,Expense,Rentt,20509.0,Bank Transfr,bangalore,Train ticket,1,Tuesday,2022.0,,
T4407,U143,29-07-2022,Expense,Education,6714.0,bank transfer,Hyderabad,,7,Friday,2022.0,,
T6734,U110,03-06-2024,Expense,TRAVEL,1098.0,,PUN,,6,Monday,2024.0,,
T4511,U107,06-07-2022,Expense,Travl,6170.0,CRD,BANGALORE,,7,Wednesday,2022.0,,
T9929,U102,15-03-2023,Expense,Utlities,8158.0,Crd,AHMEDABAD,ATM withdrawal,3,Wednesday,2023.0,,
T9603,U145,28-06-2023,Expense,rent,6760.0,Bank_Transfer,Kolkata,Uber ride,6,Wednesday,2023.0,,
T0824,U007,04-03-2021,Expense,Entertainment,3219.0,UPI,LUCKNOW,Monthly rent payment,3,Thursday,2021.0,,
T5459,U067,28-08-2021,Expense,HEALTH,1008.0,Upi,Jaipur,Medicine,8,Saturday,2021.0,,
T3551,U025,23-09-2023,Expense,Traval,1372.0,CARD,MUMBAI,Train ticket,9,Saturday,2023.0,,
T5647,U082,10-05-2023,Expense,Helth,984.0,Card,BANGALORE,Online course,5,Wednesday,2023.0,,
T6638,U084,02-08-2023,Expense,travel,1868.0,CASH,Bangalore,Grocery shopping,8,Wednesday,2023.0,,
T9811,U048,06-01-2024,Expense,RENT,2774.0,Bank Transfr,PUNE,Internet bill,1,Saturday,2024.0,,
T1789,U038,31-05-2022,Income,Salary,30722.0,CRD,JAIPUR,...,5,Tuesday,2022.0,,
T1222,U121,11-01-2021,Expense,Utility,8855.0,UPi,Delhi,asdfgh,1,Monday,2021.0,,
T1288,U071,23-12-2024,Expense,health,6626.0,bank transfer,lucknow,Monthly rent payment,12,Monday,2024.0,,
T12635,U026,22-07-2024,Expense,Foods,3054.0,cash,Pune,test,7,Monday,2024.0,,
T3008,U055,30-07-2022,Income,Freelance,37631.0,CRD,MUM,Fixed deposit,7,Saturday,2022.0,,
T4064,U127,11-04-2023,Expense,Foodd,3980.0,UPi,PUNE,Petrol,4,Tuesday,2023.0,,
T13189,U021,17-03-2021,Expense,Saving,8006.0,cash,,xyz123,3,Wednesday,2021.0,,
T8420,U136,03-06-2021,Expense,utilities,4713.0,cash,BAN,Doctor consultation,6,Thursday,2021.0,,
T10250,U057,20-12-2024,Income,Salary,14297.0,Bank Transfr,Mumbai,Electricity bill,12,Friday,2024.0,,
T4214,U036,13-12-2021,Expense,Foodd,2087.0,card,bangalore,!!!,12,Monday,2021.0,,
T0949,U144,06-04-2023,Expense,food,5997.0,CRD,bangalore,!!!,4,Thursday,2023.0,,
T5449,U035,19-04-2023,Expense,Foods,4677.0,CARD,Jaipur,EMI payment,4,Wednesday,2023.0,,
T11887,U009,15-04-2023,Expense,Rent,48330.0,UPi,LUC,xyz123,4,Saturday,2023.0,,
T5579,U030,06-06-2023,Expense,Helth,8757.0,Bank Transfer,AHMEDABAD,asdfgh,6,Tuesday,2023.0,,
T11783,U121,01-07-2022,Expense,Traval,5855.0,csh,kolkata,Doctor consultation,7,Friday,2022.0,,
T12272,U136,15-04-2023,Income,Salary,18733.0,Card,AHM,!!!,4,Saturday,2023.0,,
T13932,U147,21-11-2023,Expense,Educaton,6062.0,Bank_Transfer,lucknow,!!!,11,Tuesday,2023.0,,
T7669,U082,04-08-2023,Expense,food,9155.0,Csh,MUMBAI,EMI payment,8,Friday,2023.0,,
T1165,U017,04-04-2023,Expense,Utility,4949.0,Cash,jaipur,,4,Tuesday,2023.0,,
T10275,U119,03-06-2022,Expense,FOOD,6432.0,Card,CHENNAI,,6,Friday,2022.0,,
T4226,U070,23-04-2021,Expense,Travel,1945.0,Bank Transfr,mumbai,,4,Friday,2021.0,,
T12985,U022,18-02-2023,Expense,Entertainment,7288.0,Card,delhi,Medicine,2,Saturday,2023.0,,
T7356,U059,03-03-2022,Expense,Foodd,1443.0,CARD,KOL,Shopping,3,Thursday,2022.0,,
T2950,U135,04-11-2021,Expense,Food,842.0,UPI,bangalore,Monthly rent payment,11,Thursday,2021.0,,
T3159,U119,25-01-2023,Expense,Rentt,9301.0,cash,ahmedabad,Coffee,1,Wednesday,2023.0,,
T0060,U038,12-01-2024,Expense,Food,2984.0,CRD,,Restaurant dinner,1,Friday,2024.0,,
T11837,U126,28-01-2023,Expense,Fod,9399.0,Card,jaipur,ATM withdrawal,1,Saturday,2023.0,,
T1448,U110,07-05-2022,Expense,Fod,845.0,CRD,chennai,Gym membership,5,Saturday,2022.0,,
T12179,U042,13-04-2023,Expense,travel,5205.0,BankTransfer,Pune,Shopping,4,Thursday,2023.0,,
T3030,U083,21-01-2024,Expense,Travel,744.0,bank transfer,CHENNAI,xyz123,1,Sunday,2024.0,,
T7009,U004,05-04-2022,Expense,Travel,4005.0,Csh,JAIPUR,Fixed deposit,4,Tuesday,2022.0,,
T13174,U064,21-11-2021,Expense,Entertainment,6829.0,card,Lucknow,Coffee,11,Sunday,2021.0,,
T7155,U076,07-09-2022,Expense,Foods,2236.0,Cash,CHE,,9,Wednesday,2022.0,,
T1069,U103,20-06-2023,Expense,Utility,4119.0,Csh,PUN,Online course,6,Tuesday,2023.0,,
T3185,U132,28-04-2024,Expense,travel,2771.0,Upi,LUC,,4,Sunday,2024.0,,
T10707,U150,12-02-2024,Income,Salary,76239.0,CRD,mumbai,Internet bill,2,Monday,2024.0,,
T11015,U138,08-02-2021,Expense,FOOD,5375.0,Upi,BAN,Movie tickets,2,Monday,2021.0,,
T8773,U004,24-09-2023,Expense,Traval,5649.0,BankTransfer,jaipur,,9,Sunday,2023.0,,
T12753,U059,23-06-2023,Expense,Travl,845.0,Upi,ahmedabad,Restaurant dinner,6,Friday,2023.0,,
T8713,U041,12-01-2024,Income,Salary,37665.0,UPI,bangalore,Lunch,1,Friday,2024.0,,
T11096,U064,18-08-2024,Income,Investment,77578.0,csh,bangalore,,8,Sunday,2024.0,,
T6281,U027,08-07-2024,Expense,Foodd,3765.0,Bank_Transfer,MUMBAI,Internet bill,7,Monday,2024.0,,
T2649,U023,27-12-2022,Expense,Rnt,4039.0,Upi,kolkata,EMI payment,12,Tuesday,2022.0,,
T13724,U096,28-08-2022,Expense,rent,1009.0,UPi,KOL,asdfgh,8,Sunday,2022.0,,
T4315,U049,16-04-2022,Expense,Foodd,2220.0,Bank Transfer,MUMBAI,Train ticket,4,Saturday,2022.0,,
T6679,U006,29-07-2022,Income,Freelance,50581.0,Upi,,Internet bill,7,Friday,2022.0,,
T3446,U036,19-11-2022,Income,Salary,65464.0,UPi,Kolkata,Uber ride,11,Saturday,2022.0,,
T3972,U027,01-05-2022,Expense,education,8479.0,upi,Jaipur,Uber ride,5,Sunday,2022.0,,
T2973,U052,24-07-2023,Expense,Rnt,9804.0,CASH,Bangalore,Medicine,7,Monday,2023.0,,
T12274,U016,08-01-2024,Expense,FOOD,6666.0,CRD,jaipur,misc,1,Monday,2024.0,,
T9679,U028,20-05-2023,Expense,Utility,9727.0,Upi,Lucknow,Restaurant dinner,5,Saturday,2023.0,,
T11073,U129,25-07-2022,Expense,Travel,1611.0,Csh,Pune,,7,Monday,2022.0,,
T0496,U065,15-01-2023,Expense,education,6020.0,CRD,Pune,Online course,1,Sunday,2023.0,,
T3419,U081,14-12-2023,Expense,Utility,3123.0,Bank_Transfer,CHENNAI,Monthly rent payment,12,Thursday,2023.0,,
T10148,U078,10-08-2023,Expense,Entertainment,1317.0,UPI,Pune,Medicine,8,Thursday,2023.0,,
T0881,U069,16-02-2023,Expense,Foodd,4235.0,Bank_Transfer,DELHI,test,2,Thursday,2023.0,,
T4819,U041,01-03-2024,Expense,education,2966.0,BankTransfer,,Lunch,3,Friday,2024.0,,
T5946,U096,20-01-2022,Expense,Rent,-500.0,cash,Chennai,Gym membership,1,Thursday,2022.0,,
T5130,U110,02-03-2024,Expense,Entertain,1505.0,Bank Transfer,KOL,Uber ride,3,Saturday,2024.0,,
T0932,U081,10-12-2024,Expense,Travl,4258.0,bank transfer,Bangalore,Books,12,Tuesday,2024.0,,
T1137,U026,06-01-2022,Expense,FOOD,6666.0,bank transfer,Jaipur,test,1,Thursday,2022.0,,
T4052,U066,11-11-2021,Expense,Travel,4882.0,CASH,LUCKNOW,asdfgh,11,Thursday,2021.0,,
T9995,U025,20-04-2024,Income,Bonus,28581.0,Bank Transfr,,Online course,4,Saturday,2024.0,,
T2126,U087,03-05-2022,Expense,education,8214.0,Card,kolkata,,5,Tuesday,2022.0,,
T2433,U090,02-12-2024,Expense,Utilties,7287.0,Upi,BAN,EMI payment,12,Monday,2024.0,,
T2991,U087,22-02-2022,Expense,Travl,7173.0,bank transfer,HYDERABAD,Shopping,2,Tuesday,2022.0,,
T0651,U038,23-02-2021,Expense,RENT,2693.0,upi,Bangalore,Shopping,2,Tuesday,2021.0,,
T0163,U098,20-12-2021,Income,Others,749253.0,BankTransfer,AHMEDABAD,Electricity bill,12,Monday,2021.0,,
T1677,U092,01-12-2021,Expense,entertainment,196.0,csh,Kolkata,Coffee,12,Wednesday,2021.0,,
T1491,U057,12-05-2024,Expense,Other,1060.0,Card,DEL,,5,Sunday,2024.0,,
T12436,U101,17-09-2024,Expense,Health,6954.0,csh,Bangalore,Restaurant dinner,9,Tuesday,2024.0,,
T5311,U090,11-12-2024,Expense,RENT,740.0,BankTransfer,pune,...,12,Wednesday,2024.0,,
T10247,U004,21-04-2023,Expense,RENT,1765.0,UPi,DELHI,,4,Friday,2023.0,,
